"AC001","5010","PR","04302026","8500.00","E101","GROSS","ENG","TX","02"
"AC001","2110","PR","04302026","-1700.00","E101","EE FEDERAL TAX","ENG","TX","02"
"AC001","2115","PR","04302026","-527.00","E101","EE SOCIAL SECURITY","ENG","TX","02"
"AC001","2120","PR","04302026","-123.25","E101","EE MEDICARE","ENG","TX","02"
"AC001","5200","PR","04302026","527.00","E101","ER SOCIAL SECURITY","ENG","TX","02"
"AC001","5210","PR","04302026","123.25","E101","ER MEDICARE","ENG","TX","02"
"AC001","5220","PR","04302026","51.00","E101","FUTA TAX","ENG","TX","02"
"AC001","5230","PR","04302026","220.00","E101","TX SUI","ENG","TX","02"
"AC001","2100","PR","04302026","-6149.75","E101","NET PAY","ENG","TX","02"
"AC001","","PR","04302026","-921.25","","","","","02"
