Periode;VSNR;Name;Lohnart-Nr;Lohnart-Bez;Betrag;Beitragsgruppe;Konto;Kostenstelle
2026-06;1234567890;Mustermann, Max;0001;Grundgehalt;3000,00;D1;6000;100
2026-06;1234567890;Mustermann, Max;0050;Urlaubsremuneration;3000,00;D1;6400;100
2026-06;1234567890;Mustermann, Max;0200;Lohnsteuer;680,00;D1;3500;100
2026-06;1234567890;Mustermann, Max;0210;SV-AN;1087,20;D1;3540;100
2026-06;1234567890;Mustermann, Max;0300;SV-AG;1273,80;D1;6500;100
2026-06;1234567890;Mustermann, Max;0310;DB-FLAG;246,00;D1;6510;100
2026-06;1234567890;Mustermann, Max;0320;DZ;22,80;D1;6530;100
2026-06;1234567890;Mustermann, Max;0330;KomSt;180,00;D1;6520;100
2026-06;1234567890;Mustermann, Max;9000;Nettogehalt;4232,80;D1;3700;100
2026-06;9876543210;Beispiel, Erika;0001;Grundgehalt;2500,00;D1;6000;100
2026-06;9876543210;Beispiel, Erika;0050;Urlaubsremuneration;2500,00;D1;6400;100
2026-06;9876543210;Beispiel, Erika;0200;Lohnsteuer;530,00;D1;3500;100
2026-06;9876543210;Beispiel, Erika;0210;SV-AN;906,00;D1;3540;100
2026-06;9876543210;Beispiel, Erika;0300;SV-AG;1061,50;D1;6500;100
2026-06;9876543210;Beispiel, Erika;0310;DB-FLAG;205,00;D1;6510;100
2026-06;9876543210;Beispiel, Erika;0320;DZ;19,00;D1;6530;100
2026-06;9876543210;Beispiel, Erika;0330;KomSt;150,00;D1;6520;100
2026-06;9876543210;Beispiel, Erika;9000;Nettogehalt;3564,00;D1;3700;100
